speaker,text,label
perso 1,donc Grand Paris végétal,joy
perso 1,Rogers propose ' envahir espaces délaisser métropole parisienne,fear
perso 1,constitué vaisseaux rail,fear
perso 1,personne connait trop espaces,joy
perso 1,parce fin compte plus moins invisible,anger
perso 1,donc cette stratégie là consiste construire,joy
perso 1,fait dessus ferraille là,sadness
perso 1,nappe végétales parc,anger
perso 1,complexe fin compte,fear
perso 1,allie euh parc infrastructure nécessaires ville l'après-kyoto,joy
perso 1,travail urbain depuis années,anger
perso 1,segmenté fait infrastructure ' côté,fear
perso 1,après embellie rend vivables espaces,joy
perso 1,fait peut faire tout peut gérer,anger
perso 1,penser parc,joy
perso 1,comme espace où va gérer écoulements eaux,joy
perso 1,paysage peut être arrosé,joy
perso 1,propre écoulement eaux bâtiment,joy
perso 1,peut avoir parc ' éoliennes,joy
perso 1,fin compte faut savoir joindre ' utile l'agréable,joy
perso 1,cette stratégie là rend crois image positive,joy
perso 1,faisable économiquement viable,joy
perso 1,travail ' équipe Lyon Mangin Offner,joy
perso 1,assez remarquable hein a a plusieurs dimension,joy
perso 1,' fallait retenir image sûrement celle -ci,anger
perso 1,puisqu ' a a lieu assez quotidien transiliens,joy
perso 1,cette segmentation ' espace,fear
perso 1,opérés infrastructure routières,fear
perso 1,donc si accepte ' idée réduire vitesse,joy
perso 1,fait 90 70 km/h,joy
perso 1,va créer ici véritables boulevard urbains,joy
perso 1,donc capacité ' appropriation,joy
perso 1,donc ' part bien sûr ' approprie végétalisant cet espace là,love
perso 1,créant ligne tramway,anger
perso 1,construisant long cette voie là,fear
perso 1,encore plus important va créer porosité entre deux segment urbain,fear
perso 1,aujourd'hui conditionne fin compte ' urbanisme contemporain,fear
perso 1,puisqu ' crée ici véritables barièrres,joy
perso 1,rendent do do deux espaces deux espaces vie,sadness
perso 1,parce ' équipe Lyon,joy
perso 1,voulu euh fin compte révélée cette image,anger
perso 1,' ' fait Paris 2050,joy
perso 1,déjà là,joy
perso 1,ici c'est démonstration potentiel,joy
perso 1,donc modifiant règles ' implantation,anger
perso 1,densité,anger
perso 1,espaces là peuvent transformer,anger
perso 1,ça ' image pourra advenir demain,joy
perso 1,peu ' accepte ' modifier règles,joy
perso 1,travail l'atelier nouvel,anger
perso 1,évidemment a plusieurs strates a plusieurs épaisseurs,anger
perso 1,a aussi travail végétale ' retrouve chez Rogers,joy
perso 1,qu'on retrouve fin compte bon nombre concurrents,joy
perso 1,parce ' effectivement ' travail première partie,joy
perso 1,ville ' après- Kyoto donc a évidemment similitude,joy
perso 1,heureusement 10 projets,joy
perso 1,chacun fin compte quand,joy
perso 1,pose diagnostic Paris déjà là,fear
perso 1,Paris demain ailleurs,fear
perso 1,fin compte déjà là,joy
perso 1,c'est travail Paris là va prendre temp,anger
